name;cow;row
Afghanistan;0;0
Albania;1;1
Algeria;2;2
American_Samoa;3;3
Angola;4;4
Argentina;5;5
Armenia;6;6
Austria;7;7
Azerbaijan;8;8
Bahamas;9;9
Bangladesh;10;10
Belgium;11;11
Belize;12;12
Benin;13;13
Bhutan;14;14
Bolivia;15;15
Bosnia_and_Herzegovina;16;16
Botswana;17;17
Brunei_Darussalam;18;18
Bulgaria;19;19
Burkina_Faso;20;20
Burundi;21;21
Belarus;22;22
Cambodia;23;23
Cameroon;24;24
Cape_Verde;25;25
Cayman_Islands;26;26
Central_African_Republic;27;27
Chad;28;28
Chile;29;29
Colombia;30;30
Comoros;31;31
Congo;32;32
Cook_Islands;33;33
Costa_Rica;34;34
Croatia;35;35
Cuba;36;36
Cyprus;37;37
Czech_Republic;38;38
Denmark;39;39
Djibouti;40;40
Dominican_Republic;41;41
Ecuador;42;42
Egypt;43;43
El_Salvador;44;44
Equatorial_Guinea;45;45
Eritrea;46;46
Estonia;47;47
Ethiopia;48;48
Falkland_Islands_or_Islas_Malvinas;49;49
Faroe_Islands;50;50
Micronesia;51;51
Fiji;52;52
Finland;53;53
France;54;54
French_Guiana;55;55
French_Polynesia;56;56
French_Southern_and_Antarctica_Lands;57;57
Gabon;58;58
Gambia;59;59
Georgia;60;60
Germany;61;61
Ghana;62;62
Greece;63;63
Greenland;64;64
Guadeloupe;65;65
Guatemala;66;66
Guinea;67;67
Guinea-Bissau;68;68
Guyana;69;69
Haiti;70;70
Honduras;71;71
Hungary;72;72
Iceland;73;73
Indonesia;74;74
Iran;75;75
Iraq;76;76
Ireland;77;77
Israel;78;78
Italy;79;79
Cote_d'Ivoire;80;80
Jamaica;81;81
Japan;82;82
Jordan;83;83
Kazakhstan;84;84
Kenya;85;85
Kiribati;86;86
Kuwait;87;87
Kyrgyzstan;88;88
Laos;89;89
Latvia;90;90
Lebanon;91;91
Lesotho;92;92
Liberia;93;93
Libya;94;94
Lithuania;95;95
Luxembourg;96;96
Macedonia;97;97
Madagascar;98;98
Malawi;99;99
Malaysia;100;100
Maldives;101;101
Mali;102;102
Marshall_Islands;103;103
Mauritania;104;104
Mauritius;105;105
Mexico;106;106
Republic_of_Moldova;107;107
Mongolia;108;108
Montenegro;109;109
Morocco;110;110
Mozambique;111;111
Myanmar;112;112
Namibia;113;113
Nepal;114;114
Netherlands;115;115
New_Caledonia;116;116
New_Zealand;117;117
Nicaragua;118;118
Niger;119;119
Nigeria;120;120
North_Korea;121;121
Northern_Mariana_Islands;122;122
Norway;123;123
Oman;124;124
Pakistan;125;125
Panama;126;126
Papua_New_Guinea;127;127
Paraguay;128;128
Peru;129;129
Philippines;130;130
Pitcairn_Islands;131;131
Poland;132;132
Portugal;133;133
Puerto_Rico;134;134
Qatar;135;135
Reunion;136;136
Romania;137;137
Rwanda;138;138
Sao_Tome_and_Principe;139;139
Saudi_Arabia;140;140
Senegal;141;141
Serbia;142;142
Sierra_Leone;143;143
Slovakia;144;144
Slovenia;145;145
Solomon_Islands;146;146
Somalia;147;147
South_Africa;148;148
South_Georgia_and_the_South_Sandwich_Islands;149;149
South_Korea;150;150
Spain;151;151
Sri_Lanka;152;152
Saint_Vincent_and_the_Grenadines;153;153
Sudan;154;154
Suriname;155;155
Svalbard;156;156
Swaziland;157;157
Sweden;158;158
Switzerland;159;159
Syria;160;160
Taiwan;161;161
Tajikistan;162;162
Tanzania;163;163
Thailand;164;164
Togo;165;165
Tokelau;166;166
Trinidad_and_Tobago;167;167
Tunisia;168;168
Turkey;169;169
Turkmenistan;170;170
Tuvalu;171;171
Uganda;172;172
Ukraine;173;173
United_Arab_Emirates;174;174
United_Kingdom;175;175
Uruguay;176;176
Uzbekistan;177;177
Vanuatu;178;178
Venezuela;179;179
Vietnam;180;180
British_Virgin_Islands;181;181
Wake_Islands;182;182
West_Bank;183;183
Western_Sahara;184;184
Western_Samoa;185;185
Yemen;186;186
DR_Congo;187;187
Zambia;188;188
Zimbabwe;189;189
Australia;190;190
Brazil;191;191
Canada;192;192
China;193;193
India;194;194
Russia;195;195
United_States_of_America;196;196
New_South_Wales;190;190
Northern_Territory;190;191
Queensland;190;192
South_Australia;190;193
Tasmania;190;194
Victoria;190;195
Western_Australia;190;196
Acre;191;197
Alagoas;191;198
Amapa;191;199
Amazonas;191;200
Bahia;191;201
Ceara;191;202
Distrito_Federal;191;203
Espirito_Santo;191;204
Goias;191;205
Litigated_Zone;191;206
Mato_Grosso_do_Sul;191;207
Minas_Gerais;191;208
Mato_Grosso;191;209
Maranhao;191;210
Paraiba;191;211
Parana;191;212
Para;191;213
Piaui;191;214
Pernambuco;191;215
Rio_de_Janeiro;191;216
Rio_Grande_do_Norte;191;217
Rio_Grande_do_Sul;191;218
Rondonia;191;219
Roraima;191;220
Santa_Catarina;191;221
Sao_Paulo;191;222
Sergipe;191;223
Tocantins;191;224
Alberta;192;225
British_Columbia;192;226
Manitoba;192;227
New_Brunswick;192;228
Nova_Scotia;192;229
Northwest_Territories;192;230
Newfoundland;192;231
Ontario;192;232
Prince_Edward_Island;192;233
Quebec;192;234
Saskatchewan;192;235
Yukon_Territory;192;236
Anhui_Sheng;193;237
Beijing_Shi;193;238
Fujian_Sheng;193;239
Gansu_Sheng;193;240
Guangdong_Sheng;193;241
Guangxizhuangzu_Zizhiqu;193;242
Guizhou_Sheng;193;243
Hainan_Sheng;193;244
Hebei_Sheng;193;245
Heilongjiang_Sheng;193;246
Henan_Sheng;193;247
Hong_kong;193;248
Hubei_Sheng;193;249
Hunan_Sheng;193;250
Jiangsu_Sheng;193;251
Jiangxi_Sheng;193;252
Jilin_Sheng;193;253
Liaoning_Sheng;193;254
Neimenggu_Zizhiqu;193;255
Ningxiahuizu_Zizhiqu;193;256
Qinghai_Sheng;193;257
Shaanxi_Sheng;193;258
Shandong_Sheng;193;259
Shanghai_Shi;193;260
Shanxi_Sheng;193;261
Sichuan_Sheng;193;262
Tianjin_Shi;193;263
Xinjiangweiwu_erzu_Zizhiqu;193;264
Xizang_Zizhiqu;193;265
Yunnan_Sheng;193;266
Zhejiang_Sheng;193;267
Andaman_and_Nicobar_Islands;194;268
Andhra_Pradesh;194;269
Arunachal_Pradesh;194;270
Assam;194;271
Bihar;194;272
Chandigarh;194;273
Gujarat;194;274
Haryana;194;275
Himachal_Pradesh;194;276
Jammu_and_Kashmir;194;277
Karnataka;194;278
Kerala;194;279
Madhya_Pradesh;194;280
Maharashtra;194;281
Manipur;194;282
Meghalaya;194;283
Mizoram;194;284
Nagaland;194;285
Orissa;194;286
Punjab;194;287
Rajasthan;194;288
Sikkim;194;289
Tamil_Nadu;194;290
Tripura;194;291
Uttar_Pradesh;194;292
West_Bengal;194;293
Adygea;195;294
Aga_Buryatia;195;295
Altay;195;296
Amur;195;297
Arctic_Island;195;298
Arkhangelsk;195;299
Astrakhan;195;300
Bashkortostan;195;301
Belgorod;195;302
Bryansk;195;303
Buryatia;195;304
Chechnya;195;305
Chelyabinsk;195;306
Chita;195;307
Chukotka;195;308
Chuvashia_or_Chavash;195;309
Dagestan;195;310
Evenk;195;311
Irkutsk;195;312
Ivanovo;195;313
Jewish;195;314
Kabardino_Balkaria;195;315
Kaliningrad;195;316
Kalmykia_Khalmg_Tan;195;317
Kaluga;195;318
Kamchatka;195;319
Karachay_Cherkessia;195;320
Karelia;195;321
Kemerovo;195;322
Khabarovsk;195;323
Khakassia;195;324
Khant_Mansiysk;195;325
Kirov;195;326
Komi;195;327
Komi_Permyak;195;328
Koryak;195;329
Kostroma;195;330
Krasnodar;195;331
Krasnoyarsk;195;332
Kurgan;195;333
Kursk;195;334
Leningrad;195;335
Lipetsk;195;336
Magadan;195;337
Mari_El;195;338
Mordovia;195;339
Moscow;195;340
Murmansk;195;341
Nenetsk;195;342
Nizhniy_Novgorod;195;343
North_Ossetia_Alani;195;344
Novgorod;195;345
Novosibirsk;195;346
Omsk;195;347
Orel;195;348
Orenburg;195;349
Penza;195;350
Perm;195;351
Primorskiy;195;352
Pskov;195;353
Rostov;195;354
Ryazan;195;355
Sakha_or_Yakutia;195;356
Sakhalin;195;357
Samara;195;358
Saratov;195;359
Smolensk;195;360
St_Petersburg;195;361
Stavropol;195;362
Sverdlovsk;195;363
Tambov;195;364
Tatarstan;195;365
Taymyr_or_Dolgano_Nenets;195;366
Tomsk;195;367
Tula;195;368
Tver;195;369
Tyumen;195;370
Tyva_or_Tuva;195;371
