crop,LPJ output band
Accacia,41
Alfalfa,41
Banana,45
Barley,27
Bean,31
Cacao,41
Cassava (Maniok),34
Castor Oil Plant,41
Cereals (no specification),27
Citrus Fruits,44
Coffee Plant,41
Corn (Maize),29
Cotton,51
Eucalyptus,44
Flowers,41
Food crops (no specification),41
Fruit,45
Grains,27
Grapes,49
Jatropha,41
None,41
Oil Palm,41
Oil Seeds,"35,36,37,38"
Olives,47
Onion,41
Palms,46
Peanut,37
Peas,31
Pepper,41
Pine,41
Pineapple,41
Pongamia Pinnata,41
Potatoes,33
Pulses,31
Rice,28
Rice (hybrid),28
Rubber,41
Sesame,41
Sorghum,30
Soya Beans,36
Sugar Cane,39
Sun Flower,35
Tea,41
Teak,41
Teff,41
Tomatoes,41
Trees,44
Vegetables,41
Wheat,27
