crop,LPJ output band
Accacia,15
Alfalfa,15
Banana,19
Barley,1
Bean,5
Cacao,15
Cassava (Maniok),8
Castor Oil Plant,15
Cereals (no specification),1
Citrus Fruits,18
Coffee Plant,15
Corn (Maize),3
Cotton,25
Eucalyptus,18
Flowers,15
Food crops (no specification),15
Fruit,19
Grains,1
Grapes,23
Jatropha,15
None,15
Oil Palm,"15,"
Oil Seeds,"9,10,11,12"
Olives,21
Onion,15
Palms,20
Peanut,11
Peas,5
Pepper,15
Pine,15
Pineapple,15
Pongamia Pinnata,15
Potatoes,7
Pulses,5
Rice,2
Rice (hybrid),2
Rubber,15
Sesame,15
Sorghum,4
Soya Beans,10
Sugar Cane,13
Sun Flower,9
Tea,15
Teak,15
Teff,15
Tomatoes,15
Trees,18
Vegetables,15
Wheat,1
