"","X","deal.id","target.country","inv.country","production.size","crop","lat","long","nir_m3_i","water_b_m3_i","water_g_m3_i","production_tFM_i","yield_tFMperHA_i","IR_m3_i","area_ha_i"
"1",1,1098,"Angola","Angola, Brazil",1450,"Sugar Cane",-9.428079,15.74621,2943375.81786361,2665833.16524228,6586486.538878,7772.36301686976,2.5565337223249,4905626.0538413,3040.19577328384
"2",2,1130,"Cote d'Ivoire","Côte d'Ivoire, Singapore",31573,"Oil Palm",7.539989,-5.54708,0,13278.8683614254,7346459.091258,3785.38733158883,1.24025059999673,0,3052.11489645625
"3",3,1167,"Congo","South Africa",500,"Cereals (no specification)",-3.18427,12.2547919,0,41436.6525824347,7571122.37293233,3557.95747169159,1.15694791185386,0,3075.29616090532
"4",4,1167,"Congo","South Africa",500,"Wheat",-3.18427,12.2547919,0,41436.6525824347,7571122.37293233,3557.95747169159,1.15694791185386,0,3075.29616090532
"5",5,1167,"Congo","South Africa",500,"Rice",-3.18427,12.2547919,0,41436.6525824347,7571122.37293233,3557.95747169159,1.15694791185386,0,3075.29616090532
"6",6,1167,"Congo","South Africa",500,"Soya Beans",-3.18427,12.2547919,0,41436.6525824347,7571122.37293233,3557.95747169159,1.15694791185386,0,3075.29616090532
"7",7,1167,"Congo","South Africa",500,"Sugar Cane",-3.18427,12.2547919,0,41436.6525824347,7571122.37293233,3557.95747169159,1.15694791185386,0,3075.29616090532
"8",8,1181,"Egypt","Saudi Arabia",1575,"Barley",22.4687069,31.903938,7503208.02311192,6999695.6889525,4.66607477697916e-25,335.710218723738,0.117756024341287,13894830.0913302,2850.89633928846
"9",9,1181,"Egypt","Saudi Arabia",1575,"Alfalfa",22.4687069,31.903938,7503208.02311192,6999695.6889525,4.66607477697916e-25,335.710218723738,0.117756024341287,13894830.0913302,2850.89633928846
"10",10,1181,"Egypt","Saudi Arabia",1575,"Corn (Maize)",22.4687069,31.903938,7503208.02311192,6999695.6889525,4.66607477697916e-25,335.710218723738,0.117756024341287,13894830.0913302,2850.89633928846
"11",11,1181,"Egypt","Saudi Arabia",1575,"Wheat",22.4687069,31.903938,7503208.02311192,6999695.6889525,4.66607477697916e-25,335.710218723738,0.117756024341287,13894830.0913302,2850.89633928846
"12",12,1189,"Ethiopia","Germany, Luxembourg",500,"Peas",7.5460377,40.6346851,5552372.43506427,5249272.50073794,7869791.82366479,11634.2232451993,3.8118562504667,10282171.5900145,3052.11489645625
"13",13,1189,"Ethiopia","Germany, Luxembourg",500,"Castor Oil Plant",7.5460377,40.6346851,5552372.43506427,5249272.50073794,7869791.82366479,11634.2232451993,3.8118562504667,10282171.5900145,3052.11489645625
"14",14,1205,"Ethiopia","India",1000,"Corn (Maize)",7.9219687,34.1531947,1075462.18469598,1022740.83050083,7486422.04996416,4727.27773191391,1.54885313701744,1991596.48308729,3052.11489645625
"15",15,1205,"Ethiopia","India",1000,"Oil Palm",7.9219687,34.1531947,1075462.18469598,1022740.83050083,7486422.04996416,4727.27773191391,1.54885313701744,1991596.48308729,3052.11489645625
"16",16,1205,"Ethiopia","India",1000,"Rice",7.9219687,34.1531947,1075462.18469598,1022740.83050083,7486422.04996416,4727.27773191391,1.54885313701744,1991596.48308729,3052.11489645625
"17",17,1205,"Ethiopia","India",1000,"Sugar Cane",7.9219687,34.1531947,1075462.18469598,1022740.83050083,7486422.04996416,4727.27773191391,1.54885313701744,1991596.48308729,3052.11489645625
"18",18,1221,"Ethiopia","India",333.3333333333,"Pulses",8.24478,34.588169,1547611.7656362,1378010.38385961,8048041.07011364,6660.11646175592,2.18480956739565,2865947.54186521,3048.37390001681
