"","crop","f.class","ISO3","ISO2","item.code","hectares"
"1","accacia","forestry","MDG","MG",NA,83.3
"2","accacia","forestry","MOZ","MZ",NA,825
"3","alfalfa","feed","EGY","EG",NA,1575
"4","banana","food","GHA","GH",486,600
"5","banana","food","TZA","TZ",486,500
"6","banana","food","ZMB","ZM",486,128.2
"7","banana","food","ZWE","ZW",486,343
"8","banana","food","MOZ","MZ",486,42.9
"9","barley","flexible","EGY","EG",44,1575
"10","barley","flexible","ZMB","ZM",44,18.5
"11","bean","food","MOZ","MZ",414,42.9
"12","cacao","food","COD","CD",661,1125
"13","cacao","food","GHA","GH",661,37.5
"14","cassava","flexible","SLE","SL",125,611
"15","cassava","flexible","GHA","GH",125,599.5
"16","cassava","flexible","SLE","SL",125,125
"17","castor.oil","flexible","ETH","ET",265,250
"18","castor.oil","flexible","ETH","ET",265,250
"19","cereals","food","COG","CG",108,500
"20","citrus","food","MOZ","MZ",512,42.9
"21","coffee","food","UGA","UG",656,1802
"22","coffee","food","COD","CD",656,1125
"23","coffee","food","ZMB","ZM",656,1173
"24","coffee","food","ZMB","ZM",656,125
"25","corn","flexible","ZMB","ZM",56,600
"26","corn","flexible","NGA","NG",56,116.7
"27","corn","flexible","GHA","GH",56,3333.3
"28","corn","flexible","MDG","MG",56,100
"29","corn","flexible","MDG","MG",56,1000
"30","corn","flexible","ZMB","ZM",56,5000
"31","corn","flexible","MOZ","MZ",56,1000
"32","corn","flexible","SSD","SS",56,8
"33","corn","flexible","EGY","EG",56,1575
"34","corn","flexible","SEN","SN",56,100
"35","corn","flexible","TZA","TZ",56,150
"36","corn","flexible","ZMB","ZM",56,666.7
"37","corn","flexible","KEN","KE",56,250
"38","corn","flexible","ZMB","ZM",56,125
"39","corn","flexible","GHA","GH",56,40
"40","corn","flexible","ZMB","ZM",56,666.7
"41","corn","flexible","UGA","UG",56,28.8
"42","corn","flexible","ZMB","ZM",56,128.2
"43","cotton","flexible","SDN","SD",328,6000
"44","cotton","flexible","SDN","SD",328,504
"45","eucalyptus","forestry","MOZ","MZ",NA,533.3
"46","eucalyptus","forestry","GHA","GH",NA,83.3
"47","eucalyptus","forestry","MOZ","MZ",NA,2650.8
"48","eucalyptus","forestry","COD","CD",NA,1225.3
"49","eucalyptus","forestry","MOZ","MZ",NA,2650.8
"50","eucalyptus","forestry","MOZ","MZ",NA,825
"51","eucalyptus","forestry","UGA","UG",NA,1516
"52","eucalyptus","forestry","MOZ","MZ",NA,533.3
"53","eucalyptus","forestry","MOZ","MZ",NA,2500
"54","eucalyptus","forestry","MOZ","MZ",NA,42.9
"55","eucalyptus","forestry","MOZ","MZ",NA,370
"56","eucalyptus","forestry","MOZ","MZ",NA,370
"57","eucalyptus","forestry","MOZ","MZ",NA,2500
"58","eucalyptus","forestry","UGA","UG",NA,5200
"59","eucalyptus","forestry","UGA","UG",NA,1008
"60","eucalyptus","forestry","MOZ","MZ",NA,370
"61","eucalyptus","forestry","MOZ","MZ",NA,250
"62","eucalyptus","forestry","MOZ","MZ",NA,533.3
"63","eucalyptus","forestry","MOZ","MZ",NA,2500
"64","eucalyptus","forestry","MOZ","MZ",NA,370
"65","eucalyptus","forestry","MOZ","MZ",NA,370
"66","eucalyptus","forestry","MOZ","MZ",NA,608.3
"67","eucalyptus","forestry","MDG","MG",NA,83.3
"68","eucalyptus","forestry","MOZ","MZ",NA,2000
"69","flowers","flowers","ZWE","ZW",NA,343
"70","food.crops","food","MDG","MG",NA,125
"71","food.crops","food","MOZ","MZ",NA,770
"72","food.crops","food","MDG","MG",NA,50
"73","food.crops","food","MDG","MG",NA,125
"74","fruit","food","ZWE","ZW",619,343
"75","fruit","food","MOZ","MZ",619,42.9
"76","fruit","food","UGA","UG",619,28.8
"77","fruit","food","ZMB","ZM",619,125
"78","grains","food","NGA","NG",103,116.7
"79","grapes","food","ETH","ET",560,120
"80","grapes","food","NAM",NA,560,3.8
"81","grapes","food","NAM",NA,560,3.8
"82","jatropha","fuel","MDG","MG",NA,55700
"83","jatropha","fuel","KEN","KE",NA,19
"84","jatropha","fuel","BFA","BF",NA,214.7
"85","jatropha","fuel","MDG","MG",NA,210
"86","jatropha","fuel","SEN","SN",NA,6
"87","jatropha","fuel","MOZ","MZ",NA,770
"88","jatropha","fuel","MOZ","MZ",NA,200
"89","jatropha","fuel","MDG","MG",NA,2000
"90","jatropha","fuel","GHA","GH",NA,2.5
"91","jatropha","fuel","MDG","MG",NA,37.5
"92","jatropha","fuel","MOZ","MZ",NA,670
"93","jatropha","fuel","MDG","MG",NA,100
"94","jatropha","fuel","MOZ","MZ",NA,150
"95","jatropha","fuel","MDG","MG",NA,37.5
"96","jatropha","fuel","GHA","GH",NA,1000
"97","jatropha","fuel","TZA","TZ",NA,100
"98","jatropha","fuel","ETH","ET",NA,100
"99","jatropha","fuel","ZMB","ZM",NA,4
"100","jatropha","fuel","MDG","MG",NA,210
"101","jatropha","fuel","GHA","GH",NA,3333.3
"102","jatropha","fuel","ZMB","ZM",NA,4
"103","jatropha","fuel","GHA","GH",NA,37.5
"104","jatropha","fuel","ETH","ET",NA,100
"105","jatropha","fuel","MOZ","MZ",NA,50
"106","jatropha","fuel","MOZ","MZ",NA,155
"107","jatropha","fuel","GHA","GH",NA,2.5
"108","not.stated","not.stated","MDG","MG",NA,80
"109","not.stated","not.stated","SDN","SD",NA,1260
"110","oil.palm","flexible","SLE","SL",254,1562.5
"111","oil.palm","flexible","GAB","GA",254,8650
"112","oil.palm","flexible","UGA","UG",254,3750
"113","oil.palm","flexible","COD","CD",254,8927
"114","oil.palm","flexible","LBR","LR",254,2000
"115","oil.palm","flexible","CIV","CI",254,15786.5
"116","oil.palm","flexible","COD","CD",254,1225.3
"117","oil.palm","flexible","NGA","NG",254,8000
"118","oil.palm","flexible","GHA","GH",254,600
"119","oil.palm","flexible","CIV","CI",254,15786.5
"120","oil.palm","flexible","SLE","SL",254,125
"121","oil.palm","flexible","GHA","GH",254,37.5
"122","oil.palm","flexible","SLE","SL",254,870
"123","oil.palm","flexible","LBR","LR",254,1200
"124","oil.palm","flexible","ZMB","ZM",254,648
"125","oil.palm","flexible","TZA","TZ",254,360
"126","oil.palm","flexible","UGA","UG",254,3750
"127","oil.palm","flexible","GHA","GH",254,1619
"128","oil.palm","flexible","CIV","CI",254,950
"129","oil.palm","flexible","COD","CD",254,8927
"130","oil.palm","flexible","SLE","SL",254,300
"131","oil.palm","flexible","COD","CD",254,1125
"132","oil.palm","flexible","CIV","CI",254,950
"133","oil.palm","flexible","LBR","LR",254,2510.5
"134","oil.seeds","flexible","MOZ","MZ",339,133.3
"135","oil.seeds","flexible","MOZ","MZ",339,133.3
"136","oil.seeds","flexible","MDG","MG",339,37.5
"137","oil.seeds","flexible","MDG","MG",339,37.5
"138","onion","food","ZMB","ZM",402,18.5
"139","onion","food","ZMB","ZM",402,125
"140","palms","flexible","NAM",NA,NA,3.8
"141","palms","flexible","NAM",NA,NA,3.8
"142","peanut","food","BFA","BF",242,214.7
"143","peanut","food","MDG","MG",242,50
