"","X","deal.id","target.ISO3","target.lon","target.lat","target.country","target.continent","target.sub.continent","inv.ISO3","inv.lon","inv.lat","inv.country","inv.continent","inv.sub.continent","intended.size","contract.size","production.size","n.inv","n.crop","crop.1.final","crop.2.final","crop.3.final","crop.4.final","crop.5.final","crop.6.final","crop.7.final","crop.8.final","crop.9.final","crop.10.final","crop.11.final","accacia","alfalfa","algae","aloe.vera","apple","aquaculture","bamboo","banana","barley","bean","buckwheat","cacao","cashew","cassava","castor.oil","cereals","chat","citrus","coconut","coffee","corn","cotton","croton","dill","eucalyptus","flowers","fodder.plants","food.crops","fruit","glucose.syrup","grains","grapes","herbs","jatropha","lentils","mango","not.stated","oil.palm","oil.seeds","oleagionous.plant","olives","onion","palms","papaya","peanut","peas","pepper","pine","pineapple","pongamia.pinnata","potatoes","pulses","rapeseed","rice","roses","rubber","rye","seed.production","sesame","sorghum","soybeans","sugar","sugar.beet","sugar.cane","sunflower","sweet.potatoes","tea","teak","teff","tomatoes","trees","vegetables","vineyard","wheat"
"1",1,1098,"AGO",17.873887,-11.202692,"Angola","Africa","Middle Africa","AGO",17.873887,-11.202692,"Angola","Africa","Middle Africa",15000,15000,725,2,1,"sugar.cane","0","0","0","0","0","0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,725,0,0,0,0,0,0,0,0,0,0
"2",2,1652,"NAM",18.49041,-22.95764,"Namibia","Africa","Southern Africa","ARE",53.847818,23.424076,"United Arab Emirates","Asia","Western Asia",0,110,7.5,2,2,"grapes","palms","0","0","0","0","0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.8,0,0,0,0,0,0,0,0,0,0,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",3,2332,"SDN",30.217636,12.862807,"Sudan","Africa","Northern Africa","ARE",53.847818,23.424076,"United Arab Emirates","Asia","Western Asia",16800,16800,1260,1,1,"not.stated","0","0","0","0","0","0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",4,3404,"GHA",-1.023194,7.946527,"Ghana","Africa","Western Africa","ARE",53.847818,23.424076,"United Arab Emirates","Asia","Western Asia",0,5000,250,1,3,"eucalyptus","pine","teak","0","0","0","0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83.3,0,0,0,0,0,0
"5",5,1772,"SEN",-14.452362,14.497401,"Senegal","Africa","Western Africa","BEL",4.469936,50.503887,"Belgium","Europe","Western Europe",5000,5000,6,1,1,"jatropha","0","0","0","0","0","0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",6,3352,"GAB",11.609444,-0.803689,"Gabon","Africa","Middle Africa","BEL",4.469936,50.503887,"Belgium","Europe","Western Europe",117300,117300,17300,1,2,"oil.palm","rubber","0","0","0","0","0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8650,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",7,1680,"NGA",8.675277,9.081999,"Nigeria","Africa","Western Africa","BEL",4.469936,50.503887,"Belgium","Europe","Western Europe",16000,16000,16000,1,2,"rubber","oil.palm","0","0","0","0","0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",8,3271,"CIV",-5.54708,7.539989,"Cote d'Ivoire","Africa","Western Africa","BEL",4.469936,50.503887,"Belgium","Europe","Western Europe",13700,7700,5500,1,1,"rubber","0","0","0","0","0","0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"9",9,2335,"SDN",30.217636,12.862807,"Sudan","Africa","Northern Africa","BRA",-51.92528,-14.235004,"Brazil","Americas","South America",1e+05,12000,12000,1,2,"cotton","soybeans","0","0","0","0","0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6000,0,0,0,0,0,0,0,0,0,0,0,0,0
"10",10,1098,"AGO",17.873887,-11.202692,"Angola","Africa","Middle Africa","BRA",-51.92528,-14.235004,"Brazil","Americas","South America",15000,15000,725,2,1,"sugar.cane","0","0","0","0","0","0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,725,0,0,0,0,0,0,0,0,0,0
